POP,LOCAL,HAB,COND,Air Temp,HGR,INC,SOIL,VEG,ROCK,ROCK_RM,WALL,ROCKD,SOIL1,VEG1,ROCK1,SOIL1_T,VEG1_T,ROCK1_T,SUBTEMP,APPROACH,FLIGHT,REFUGE,REFUGETEMP,SOIL2,VEG2,ROCK2,SOIL2_T,VEG2_T,ROCK2_T,COLOR,TAIL
(5)Parada,Lindoso,HUM,UNBURN,27.8,125,10,0,0,0,0,1,,0,0.2,0.8,0,0.201357921,0.927295218,44.6,185,20,rock,39.8,0,0.25,0.75,0,0.252680255,0.848062079,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,23.7,15,0,0,0,1,0,0,30,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,34.5,155,10,rock,26.2,0.05,0.2,0.75,0.050020857,0.201357921,0.848062079,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,22.7,45,30,0,0,0,0,1,,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,23.5,205,15,rock,15.9,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,22.7,35,90,0,0,0,0,1,,0.05,0.25,0.7,0.050020857,0.252680255,0.775397497,19.4,150,10,rock,15.1,0.05,0.25,0.7,0.050020857,0.252680255,0.775397497,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,22.6,55,20,0,0,0,0,1,,0,0.2,0.8,0,0.201357921,0.927295218,48,85,25,rock,15.3,0,0.2,0.8,0,0.201357921,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,20.8,60,0,0,0,0,0,1,,0.05,0.3,0.65,0.050020857,0.304692654,0.707584437,35.3,205,10,rock,12.4,0.05,0.3,0.65,0.050020857,0.304692654,0.707584437,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,20.8,80,80,0,0,0,0,1,,0.05,0.3,0.65,0.050020857,0.304692654,0.707584437,28,165,35,rock,25.8,0.05,0.35,0.6,0.050020857,0.357571104,0.643501109,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,20.8,50,25,0,0,0,0,1,,0.15,0.15,0.7,0.150568273,0.150568273,0.775397497,20.9,145,75,veg,14.5,0.05,0.25,0.7,0.050020857,0.252680255,0.775397497,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,24.3,50,10,0,0,0,0,1,,0.1,0.25,0.65,0.100167421,0.252680255,0.707584437,47.2,165,20,rock,24.7,0,0.35,0.65,0,0.357571104,0.707584437,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,24.6,45,40,0,0,0,0,1,,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,22.5,160,25,rock,15.3,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,24.8,55,0,0,0,0,0,1,,0,0.15,0.85,0,0.150568273,1.015985294,25.9,150,20,rock,15.4,0,0.2,0.8,0,0.201357921,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,22.8,35,40,0,0,0,0,1,,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,37.8,140,30,rock,16.8,0.1,0.15,0.75,0.100167421,0.150568273,0.848062079,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,21.8,30,20,0,0,1,0,0,40,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,30.7,160,50,rock,18.7,0,0.2,0.8,0,0.201357921,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,22.4,65,70,0,0,0,0,1,,0,0.1,0.9,0,0.100167421,1.119769515,28.9,230,15,rock,15.1,0,0.1,0.9,0,0.100167421,1.119769515,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,22,120,0,0,0,0,0,1,,0,0,1,0,0,1.570796327,29.4,200,35,rock,16.5,0,0.1,0.9,0,0.100167421,1.119769515,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,21.9,65,70,0,0,0,0,1,,0,0.1,0.9,0,0.100167421,1.119769515,48.1,180,25,rock,17.8,0,0.1,0.9,0,0.100167421,1.119769515,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,23.9,40,90,0,0,0,0,1,,0,0.3,0.7,0,0.304692654,0.775397497,32.8,185,10,rock,18.6,0,0.3,0.7,0,0.304692654,0.775397497,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,23.1,50,90,0,0,0,0,1,,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,47.3,190,35,rock,32,0.2,0.1,0.7,0.201357921,0.100167421,0.775397497,Spot,reg
(5)Parada,Lindoso,HUM,UNBURN,24.2,60,50,0,0,0,0,1,,0.1,0.05,0.85,0.100167421,0.050020857,1.015985294,32.8,170,40,rock,16.4,0.1,0.05,0.85,0.100167421,0.050020857,1.015985294,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,24,0,0,0,0,1,0,0,60,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,28.2,270,60,veg,21.3,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,22.8,45,30,0,0,0,0,1,,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,47.9,140,30,rock,14.5,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,23.6,140,75,0,0,0,0,1,,0,0.15,0.85,0,0.150568273,1.015985294,28.1,205,25,rock,20.9,0,0.15,0.85,0,0.150568273,1.015985294,Unif,reg
(5)Parada,Lindoso,HUM,UNBURN,22.2,155,0,0,0,0,0,1,,0,0.1,0.9,0,0.100167421,1.119769515,31.7,180,40,rock,29.9,0,0.1,0.9,0,0.100167421,1.119769515,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,24.9,50,30,0,0,0,0,1,,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,32.4,120,20,rock,20.3,0.1,0.1,0.8,0.100167421,0.100167421,0.927295218,Unif,ok
(5)Parada,Lindoso,HUM,UNBURN,23.5,60,10,0,0,0,0,1,,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,30.2,95,10,rock,18.5,0.2,0.05,0.75,0.201357921,0.050020857,0.848062079,Spot,ok
(5)Parada,Lindoso,HUM,UNBURN,24,45,90,0,0,0,0,1,,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,27.7,200,40,rock,18.3,0.1,0.3,0.6,0.100167421,0.304692654,0.643501109,Unif,ok
(2)Campo,Geres,NAT,BURN,19,95,60,0,0,1,0,0,300,0,0.4,0.6,0,0.411516846,0.643501109,30,270,60,rock,25.6,0,0.4,0.6,0,0.411516846,0.643501109,Unif,reg
(2)Campo,Geres,NAT,BURN,19,85,80,0,0,1,0,0,200,0,0.4,0.6,0,0.411516846,0.643501109,34.5,260,65,veg,20,0,0.5,0.5,0,0.523598776,0.523598776,Spot,reg
(2)Campo,Geres,NAT,BURN,20,45,50,0,0,1,0,0,150,0,0.5,0.5,0,0.523598776,0.523598776,23,230,45,veg,9.5,0,0.5,0.5,0,0.523598776,0.523598776,Unif,ok
(2)Campo,Geres,NAT,BURN,21.7,60,70,0,0,1,0,0,250,0.05,0.4,0.55,0.050020857,0.411516846,0.582364238,31.8,210,50,veg,15.4,0.2,0.3,0.5,0.201357921,0.304692654,0.523598776,Spot,reg
(2)Campo,Geres,NAT,BURN,21.6,65,50,0,0,1,0,0,120,0.15,0.05,0.8,0.150568273,0.050020857,0.927295218,27.2,395,30,rock,5.4,0.15,0.05,0.8,0.150568273,0.050020857,0.927295218,Unif,ok
(2)Campo,Geres,NAT,BURN,24.6,35,45,0,0,1,0,0,250,0,0.5,0.5,0,0.523598776,0.523598776,21.5,210,60,veg,5,0.3,0.3,0.4,0.304692654,0.304692654,0.411516846,Spot,reg
(2)Campo,Geres,NAT,BURN,24,50,60,0,0,1,0,0,80,0.15,0.3,0.55,0.150568273,0.304692654,0.582364238,34,250,50,veg,9.5,0.05,0.25,0.7,0.050020857,0.252680255,0.775397497,Unif,reg
(2)Campo,Geres,NAT,BURN,22.6,190,25,0,0,1,0,0,130,0,0,1,0,0,1.570796327,14.8,450,130,rock,1.2,0,0,1,0,0,1.570796327,Unif,reg
(2)Campo,Geres,NAT,BURN,23.8,35,75,0,0,1,0,0,220,0.12,0.03,0.85,0.120289882,0.030004502,1.015985294,25.2,200,50,rock,14.4,0,0,1,0,0,1.570796327,Spot,reg
(2)Campo,Geres,NAT,BURN,22.6,0,15,0,0,0,1,0,RM,0.25,0.1,0.65,0.252680255,0.100167421,0.707584437,22.7,290,15,rock,13.4,0.25,0.1,0.65,0.252680255,0.100167421,0.707584437,Unif,reg
(2)Campo,Geres,NAT,BURN,23.8,0,0,0,0,0,1,0,RM,0,0,1,0,0,1.570796327,22.2,210,70,rock,8.2,0,0,1,0,0,1.570796327,Unif,reg
(2)Campo,Geres,NAT,BURN,24.6,60,45,0,0,1,0,0,60,0,0.6,0.4,0,0.643501109,0.411516846,23.2,355,60,veg,9.4,0,0.7,0.3,0,0.775397497,0.304692654,Spot,reg
